免费勿扫(二姨生日快乐),#genre#
辽宁移动电视(二姨生日快乐),http://116.2.160.212:4010/rtp/232.0.0.165:1234$和平太原街uni
辽宁宜佳购物(二姨生日快乐),http://116.2.160.212:4010/rtp/232.0.0.030:1234$和平太原街uni
营口辽河新闻综合(二姨生日快乐),http://116.2.160.212:4010/rtp/232.0.0.214:1234$和平太原街uni
营口辽河文化生活(二姨生日快乐),http://116.2.160.212:4010/rtp/232.0.0.215:1234$和平太原街uni
盘锦新闻综合(二姨生日快乐),http://116.2.160.212:4010/rtp/232.0.0.228:1234$和平太原街uni
盘锦都市(二姨生日快乐),http://116.2.160.212:4010/rtp/232.0.0.183:1234$和平太原街uni
抚顺综合(二姨生日快乐),http://116.2.160.212:4010/rtp/232.0.0.253:1234$和平太原街uni
抚顺教育(二姨生日快乐),http://116.2.160.212:4010/rtp/232.0.0.254:1234$和平太原街uni

辽宁都市(二姨生日快乐),http://107.150.60.122/live/lnds.m3u8$堪萨斯城2
辽宁影视剧(二姨生日快乐),http://107.150.60.122/live/lnys.m3u8$堪萨斯城2
辽宁体育休闲(二姨生日快乐),http://107.150.60.122/live/lnty.m3u8$堪萨斯城2
辽宁生活(二姨生日快乐),http://107.150.60.122/live/lnsh.m3u8$堪萨斯城2
辽宁北方(二姨生日快乐),http://107.150.60.122/live/lnbf.m3u8$堪萨斯城2

辽宁北方(二姨生日快乐),http://panabit.yunjifei.top:3338/tsfile/live/0005_1.m3u8$DLZB
辽宁公共(二姨生日快乐),http://panabit.yunjifei.top:3338/tsfile/live/0006_1.m3u8$DLZB
辽宁教育青少(二姨生日快乐),http://panabit.yunjifei.top:3338/tsfile/live/0008_1.m3u8$DLZB
辽宁经济(二姨生日快乐),http://panabit.yunjifei.top:3338/tsfile/live/0137_1.m3u8$DLZB
辽宁都市(二姨生日快乐),http://panabit.yunjifei.top:3338/tsfile/live/1021_1.m3u8$DLZB
辽宁影视剧(二姨生日快乐),http://panabit.yunjifei.top:3338/tsfile/live/1024_1.m3u8$DLZB
辽宁生活(二姨生日快乐),http://panabit.yunjifei.top:3338/tsfile/live/1022_1.m3u8$DLZB
辽宁体育休闲(二姨生日快乐),http://panabit.yunjifei.top:3338/tsfile/live/1023_1.m3u8$DLZB
沈阳新闻综合(二姨生日快乐),http://panabit.yunjifei.top:3338/tsfile/live/1019_1.m3u8$DLZB
北方导视(二姨生日快乐),http://panabit.yunjifei.top:3338/tsfile/live/1059_1.m3u8$DLZB
辽宁宜佳购物(二姨生日快乐),http://panabit.yunjifei.top:3338/tsfile/live/1060_1.m3u8$DLZB

沈阳新闻综合(二姨生日快乐),http://xiaoya.ayemovie.top:5555/rtp/232.0.0.227:9276$铁岭凡河uni
辽宁都市(二姨生日快乐),http://xiaoya.ayemovie.top:5555/rtp/232.0.0.42:8856$铁岭凡河uni
辽宁体育休闲(二姨生日快乐),http://xiaoya.ayemovie.top:5555/rtp/232.0.0.66:8820$铁岭凡河uni
辽宁影视剧(二姨生日快乐),http://xiaoya.ayemovie.top:5555/rtp/232.0.0.97:8534$铁岭凡河uni
辽宁经济(二姨生日快乐),http://xiaoya.ayemovie.top:5555/rtp/232.0.0.155:9320$铁岭凡河uni
辽宁公共(二姨生日快乐),http://xiaoya.ayemovie.top:5555/rtp/232.0.0.156:9322$铁岭凡河uni
辽宁移动电视(二姨生日快乐),http://xiaoya.ayemovie.top:5555/rtp/232.0.0.167:9338$铁岭凡河uni
辽宁北方(二姨生日快乐),http://xiaoya.ayemovie.top:5555/rtp/232.0.0.211:9240$铁岭凡河uni
辽宁生活(二姨生日快乐),http://xiaoya.ayemovie.top:5555/rtp/232.0.0.212:9242$铁岭凡河uni
辽宁教育青少(二姨生日快乐),http://xiaoya.ayemovie.top:5555/rtp/232.0.0.230:9356$铁岭凡河uni
铁岭新闻综合(二姨生日快乐),http://xiaoya.ayemovie.top:5555/rtp/232.0.0.240:9280$铁岭凡河uni
铁岭生活(二姨生日快乐),http://xiaoya.ayemovie.top:5555/rtp/232.0.0.241:9282$铁岭凡河uni
朝阳新闻综合(二姨生日快乐),http://xiaoya.ayemovie.top:5555/rtp/232.0.0.243:9126$铁岭凡河uni
朝阳教育(二姨生日快乐),http://xiaoya.ayemovie.top:5555/rtp/232.0.0.244:9128$铁岭凡河uni
本溪综合(二姨生日快乐),http://xiaoya.ayemovie.top:5555/rtp/232.0.0.157:9324$铁岭凡河uni
阜新综合(二姨生日快乐),http://xiaoya.ayemovie.top:5555/rtp/232.0.0.246:9134$铁岭凡河uni
中华特产(二姨生日快乐),http://xiaoya.ayemovie.top:5555/rtp/232.0.0.247:9136$铁岭凡河uni
阜新教育(二姨生日快乐),http://xiaoya.ayemovie.top:5555/rtp/232.0.0.248:9138$铁岭凡河uni
辽阳新闻综合(二姨生日快乐),http://xiaoya.ayemovie.top:5555/rtp/232.0.0.249:9140$铁岭凡河uni
辽阳社会生活(二姨生日快乐),http://xiaoya.ayemovie.top:5555/rtp/232.0.0.250:9000$铁岭凡河uni
丹东新闻综合(二姨生日快乐),http://xiaoya.ayemovie.top:5555/rtp/232.0.0.251:9162$铁岭凡河uni
丹东生活(二姨生日快乐),http://xiaoya.ayemovie.top:5555/rtp/232.0.0.252:9164$铁岭凡河uni
葫芦岛新闻综合(二姨生日快乐),http://xiaoya.ayemovie.top:5555/rtp/232.0.0.238:9260$铁岭凡河uni
葫芦岛生活(二姨生日快乐),http://xiaoya.ayemovie.top:5555/rtp/232.0.0.239:9262$铁岭凡河uni

沈阳新闻综合(二姨生日快乐),http://op.ayemovie.top:5555/rtp/232.0.0.227:9276$铁岭凡河op
辽宁都市(二姨生日快乐),http://op.ayemovie.top:5555/rtp/232.0.0.42:8856$铁岭凡河op
辽宁体育休闲(二姨生日快乐),http://op.ayemovie.top:5555/rtp/232.0.0.66:8820$铁岭凡河op
辽宁影视剧(二姨生日快乐),http://op.ayemovie.top:5555/rtp/232.0.0.97:8534$铁岭凡河op
辽宁经济(二姨生日快乐),http://op.ayemovie.top:5555/rtp/232.0.0.155:9320$铁岭凡河op
辽宁公共(二姨生日快乐),http://op.ayemovie.top:5555/rtp/232.0.0.156:9322$铁岭凡河op
辽宁移动电视(二姨生日快乐),http://op.ayemovie.top:5555/rtp/232.0.0.167:9338$铁岭凡河op
辽宁北方(二姨生日快乐),http://op.ayemovie.top:5555/rtp/232.0.0.211:9240$铁岭凡河op
辽宁生活(二姨生日快乐),http://op.ayemovie.top:5555/rtp/232.0.0.212:9242$铁岭凡河op
辽宁教育青少(二姨生日快乐),http://op.ayemovie.top:5555/rtp/232.0.0.230:9356$铁岭凡河op
铁岭新闻综合(二姨生日快乐),http://op.ayemovie.top:5555/rtp/232.0.0.240:9280$铁岭凡河op
铁岭生活(二姨生日快乐),http://op.ayemovie.top:5555/rtp/232.0.0.241:9282$铁岭凡河op
朝阳新闻综合(二姨生日快乐),http://op.ayemovie.top:5555/rtp/232.0.0.243:9126$铁岭凡河op
朝阳教育(二姨生日快乐),http://op.ayemovie.top:5555/rtp/232.0.0.244:9128$铁岭凡河op
本溪综合(二姨生日快乐),http://op.ayemovie.top:5555/rtp/232.0.0.157:9324$铁岭凡河op
阜新综合(二姨生日快乐),http://op.ayemovie.top:5555/rtp/232.0.0.246:9134$铁岭凡河op
阜新中华特产(二姨生日快乐),http://op.ayemovie.top:5555/rtp/232.0.0.247:9136$铁岭凡河op
阜新教育(二姨生日快乐),http://op.ayemovie.top:5555/rtp/232.0.0.248:9138$铁岭凡河op
辽阳新闻综合(二姨生日快乐),http://op.ayemovie.top:5555/rtp/232.0.0.249:9140$铁岭凡河op
辽阳社会生活(二姨生日快乐),http://op.ayemovie.top:5555/rtp/232.0.0.250:9000$铁岭凡河op
丹东新闻综合(二姨生日快乐),http://op.ayemovie.top:5555/rtp/232.0.0.251:9162$铁岭凡河op
丹东生活(二姨生日快乐),http://op.ayemovie.top:5555/rtp/232.0.0.252:9164$铁岭凡河op
葫芦岛新闻综合(二姨生日快乐),http://op.ayemovie.top:5555/rtp/232.0.0.238:9260$铁岭凡河op
葫芦岛生活(二姨生日快乐),http://op.ayemovie.top:5555/rtp/232.0.0.239:9262$铁岭凡河op

辽宁都市(二姨生日快乐),http://fuxin.yunjifei.top:999/tsfile/live/1000_1.m3u8?key=txiptv$阜新太平Tele
辽宁影视剧(二姨生日快乐),http://fuxin.yunjifei.top:999/tsfile/live/1001_1.m3u8?key=txiptv$阜新太平Tele
辽宁体育休闲(二姨生日快乐),http://fuxin.yunjifei.top:999/tsfile/live/1003_1.m3u8?key=txiptv$阜新太平Tele
辽宁生活(二姨生日快乐),http://fuxin.yunjifei.top:999/tsfile/live/1004_1.m3u8?key=txiptv$阜新太平Tele
辽宁教育青少(二姨生日快乐),http://fuxin.yunjifei.top:999/tsfile/live/1005_1.m3u8?key=txiptv$阜新太平Tele
辽宁北方(二姨生日快乐),http://fuxin.yunjifei.top:999/tsfile/live/1006_1.m3u8?key=txiptv$阜新太平Tele
辽宁公共(二姨生日快乐),http://fuxin.yunjifei.top:999/tsfile/live/1007_1.m3u8?key=txiptv$阜新太平Tele
辽宁经济(二姨生日快乐),http://fuxin.yunjifei.top:999/tsfile/live/1008_1.m3u8?key=txiptv$阜新太平Tele
辽宁移动电视(二姨生日快乐),http://fuxin.yunjifei.top:999/tsfile/live/1009_1.m3u8?key=txiptv$阜新太平Tele

辽宁卫视(二姨生日快乐),http://39.152.103.17:8089/tsfile/live/1024_1.m3u8$阜新彰武Mobile
辽宁都市(二姨生日快乐),http://39.152.103.17:8089/tsfile/live/1025_1.m3u8$阜新彰武Mobile
辽宁影视剧(二姨生日快乐),http://39.152.103.17:8089/tsfile/live/1026_1.m3u8$阜新彰武Mobile
辽宁体育休闲(二姨生日快乐),http://39.152.103.17:8089/tsfile/live/1027_1.m3u8$阜新彰武Mobile
辽宁生活(二姨生日快乐),http://39.152.103.17:8089/tsfile/live/1028_1.m3u8$阜新彰武Mobile
辽宁教育青少(二姨生日快乐),http://39.152.103.17:8089/tsfile/live/1029_1.m3u8$阜新彰武Mobile
辽宁北方(二姨生日快乐),http://39.152.103.17:8089/tsfile/live/1030_1.m3u8$阜新彰武Mobile
辽宁公共(二姨生日快乐),http://39.152.103.17:8089/tsfile/live/1031_1.m3u8$阜新彰武Mobile
辽宁经济(二姨生日快乐),http://39.152.103.17:8089/tsfile/live/1032_1.m3u8$阜新彰武Mobile
辽宁移动电视(二姨生日快乐),http://39.152.103.17:8089/tsfile/live/1033_1.m3u8$阜新彰武Mobile

辽宁卫视(二姨生日快乐),http://38.75.136.137:98/gslb/dsdqpub/lnwshd.m3u8?auth=testpub$洛杉矶test

锦州新闻综合(二姨生日快乐),https://srs.beijihainews.com.cn/video/jinzhou1/index.m3u8$北极海
锦州教育(二姨生日快乐),https://srs.beijihainews.com.cn/video/jinzhou2/index.m3u8$北极海

铁岭新闻综合(二姨生日快乐),https://live-play-tlrb.newaircloud.com/tlrb/3dc36395-a7a3-4855-9bd6-8d223cf9ac30.m3u8

央卫频道(二姨生日快乐),#genre#
CCTV1(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv1hd$堪萨斯城1
CCTV2(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv2hd$堪萨斯城1
CCTV3(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv3hd$堪萨斯城1
CCTV4(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv4hd$堪萨斯城1
CCTV5(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv5hd$堪萨斯城1
CCTV5+(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv5p$堪萨斯城1
CCTV6(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv6hd$堪萨斯城1
CCTV7(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv7hd$堪萨斯城1
CCTV8(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv8hd$堪萨斯城1
CCTV9(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv9hd$堪萨斯城1
CCTV10(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv10hd$堪萨斯城1
CCTV11(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv11hd$堪萨斯城1
CCTV12(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv12hd$堪萨斯城1
CCTV13(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv13hd$堪萨斯城1
CCTV14(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv14hd$堪萨斯城1
CCTV15(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv15hd$堪萨斯城1
CCTV16(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv16hd$堪萨斯城1
CCTV17(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv17hd$堪萨斯城1
CCTV4K(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv4k$堪萨斯城1
CCTV8K(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv8k$堪萨斯城1
CETV1(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cetv1hd$堪萨斯城1
CETV2(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cetv2$堪萨斯城1
CETV3(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cetv3$堪萨斯城1
CETV4(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cetv4$堪萨斯城1
CCTV第一剧场(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=dyjc$堪萨斯城1
CCTV电视指南(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=dszn$堪萨斯城1
CCTV风云剧场(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=fyjc$堪萨斯城1
CCTV风云音乐(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=fyyy$堪萨斯城1
CCTV风云足球(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=fyzq$堪萨斯城1
CCTV怀旧剧场(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=hjjc$堪萨斯城1
CCTV女性时尚(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=nxss$堪萨斯城1
CCTV世界地理(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=sjdl$堪萨斯城1
CCTV央视台球(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=ystq$堪萨斯城1
CCTV文化精品(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=ysjp$堪萨斯城1
CCTV卫生健康(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=wsjk$堪萨斯城1
国学频道(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gxpd$堪萨斯城1
安徽卫视(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=ahwshd$堪萨斯城1
北京卫视(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=bjwshd$堪萨斯城1
重庆卫视(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cqwshd$堪萨斯城1
东方卫视(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=dfwshd$堪萨斯城1
东南卫视(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=dnwshd$堪萨斯城1
甘肃卫视(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gswshd$堪萨斯城1
广东卫视(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gdwshd$堪萨斯城1
广西卫视(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gxwshd$堪萨斯城1
贵州卫视(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gzwshd$堪萨斯城1
河北卫视(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=hewshd$堪萨斯城1
河南卫视(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=hawshd$堪萨斯城1
黑龙江卫视(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=hljwshd$堪萨斯城1
湖北卫视(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=hbwshd$堪萨斯城1
湖南卫视(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=hnwshd$堪萨斯城1
吉林卫视(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=jlwshd$堪萨斯城1
江苏卫视(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=jswshd$堪萨斯城1
江西卫视(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=jxwshd$堪萨斯城1
辽宁卫视(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lnwshd$堪萨斯城1
内蒙古卫视(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=nmgws$堪萨斯城1
宁夏卫视(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=nxws$堪萨斯城1
青海卫视(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=qhws$堪萨斯城1
三沙卫视(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=ssws$堪萨斯城1
山东卫视(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=sdwshd$堪萨斯城1
山西卫视(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=sxwshd$堪萨斯城1
陕西卫视(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=snwshd$堪萨斯城1
深圳卫视(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=szwshd$堪萨斯城1
四川卫视(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=scwshd$堪萨斯城1
